,fold,decision_tree_exclusion_x,svm_exclusion_x,group,decision_tree_exclusion_y,svm_exclusion_y,decision_tree_exclusion_x,svm_exclusion_x,decision_tree_exclusion_y,svm_exclusion_y,decision_tree_exclusion,svm_exclusion
0,Fold-0,0.0,0.3090909090909091,games.csv,0.0,0.12727272727272726,0.41818181818181815,0.5636363636363636,0.0,0.5636363636363636,0.0,0.5818181818181818
1,Fold-1,0.0,0.06976744186046513,games.csv,0.0,0.0,0.3953488372093023,0.3953488372093023,0.0,0.3953488372093023,0.0,0.372093023255814
2,Fold-2,0.0,0.25,games.csv,0.0,0.075,0.6,0.55,0.0,0.55,0.0,0.575
3,Fold-0,0.36,0.6,mdwe.csv,0.44,0.6,0.36,0.6,0.32,0.6,0.32,0.6
4,Fold-1,0.5294117647058824,0.5294117647058824,mdwe.csv,0.29411764705882354,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.4117647058823529
5,Fold-2,0.5,0.65,mdwe.csv,0.5,0.65,0.5,0.65,0.5,0.65,0.5,0.65
6,Fold-0,0.5185185185185185,0.0,pair.csv,0.037037037037037035,0.0,0.4814814814814815,0.4444444444444444,0.4814814814814815,0.5185185185185185,0.4444444444444444,0.4074074074074074
7,Fold-1,0.4642857142857143,0.0,pair.csv,0.0,0.05357142857142857,0.5178571428571429,0.5892857142857143,0.5357142857142857,0.6607142857142857,0.5178571428571429,0.625
8,Fold-2,0.4893617021276596,0.0,pair.csv,0.0,0.10638297872340426,0.5319148936170213,0.44680851063829785,0.425531914893617,0.6382978723404256,0.3191489361702128,0.6170212765957447
9,Fold-0,0.2564102564102564,0.07692307692307693,testing.csv,0.5128205128205128,0.7435897435897436,0.5128205128205128,0.8974358974358975,0.5128205128205128,0.8974358974358975,0.5128205128205128,0.8974358974358975
10,Fold-1,0.3333333333333333,0.11904761904761905,testing.csv,0.6666666666666666,0.42857142857142855,0.6666666666666666,0.9523809523809524,0.6666666666666666,0.9523809523809524,0.6666666666666666,0.9523809523809524
11,Fold-2,0.13725490196078433,0.0392156862745098,testing.csv,0.5294117647058824,0.392156862745098,0.5294117647058824,0.9411764705882352,0.5294117647058824,0.9411764705882352,0.5294117647058824,0.8823529411764706
12,Fold-0,0.2058823529411765,0.29411764705882354,illiterate.csv,0.7941176470588235,0.8529411764705882,0.7941176470588235,0.8529411764705882,0.7941176470588235,0.8529411764705882,0.7941176470588235,0.8529411764705882
13,Fold-1,0.0851063829787234,0.1276595744680851,illiterate.csv,0.7021276595744681,0.7659574468085106,0.7021276595744681,0.8085106382978723,0.7021276595744681,0.8085106382978723,0.7021276595744681,0.8085106382978723
14,Fold-2,0.028571428571428567,0.17142857142857146,illiterate.csv,0.8571428571428571,0.8285714285714286,0.8571428571428571,0.8857142857142857,0.8571428571428571,0.8857142857142857,0.8571428571428571,0.8857142857142857
15,Fold-0,0.65625,0.625,ontologies.csv,0.65625,0.59375,0.65625,0.15625,0.6875,0.8125,0.71875,0.8125
16,Fold-1,0.7619047619047619,0.7301587301587301,ontologies.csv,0.7460317460317459,0.031746031746031744,0.7460317460317459,0.15873015873015872,0.7777777777777778,0.8571428571428571,0.7777777777777778,0.8888888888888888
17,Fold-2,0.6909090909090909,0.6727272727272727,ontologies.csv,0.8,0.0,0.6727272727272727,0.2727272727272727,0.6727272727272727,0.9454545454545454,0.8181818181818182,0.9454545454545454
18,Fold-0,0.0,0.375,slr.csv,0.0,0.375,0.0,0.375,0.0,0.25,0.0,0.375
19,Fold-1,0.0,0.18181818181818185,slr.csv,0.0,0.18181818181818185,0.0,0.2727272727272727,0.0,0.18181818181818185,0.0,0.3636363636363637
20,Fold-2,0.0,0.0,slr.csv,0.0,0.375,0.0,0.375,0.0,0.0,0.0,0.125
21,Fold-0,0.24390243902439024,0.12195121951219512,xbi.csv,0.6341463414634146,0.04878048780487805,0.6341463414634146,0.3170731707317073,0.7804878048780488,0.7560975609756098,0.7804878048780488,0.7560975609756098
22,Fold-1,0.07462686567164177,0.02985074626865672,xbi.csv,0.6567164179104478,0.1044776119402985,0.6567164179104478,0.6417910447761194,0.7910447761194029,0.7910447761194029,0.7910447761194029,0.7611940298507462
23,Fold-2,0.7454545454545455,0.6727272727272727,xbi.csv,0.7454545454545455,0.7090909090909091,0.7454545454545455,0.7636363636363637,0.7454545454545455,0.7454545454545455,0.7454545454545455,0.7090909090909091
