,fold,decision_tree_recall_x,svm_recall_x,group,decision_tree_recall_y,svm_recall_y,decision_tree_recall_x,svm_recall_x,decision_tree_recall_y,svm_recall_y,decision_tree_recall,svm_recall
0,Fold-0,0.5892857142857143,0.7321428571428572,games.csv,0.5892857142857143,0.8678571428571429,0.6035714285714286,0.8178571428571428,0.575,0.8678571428571429,0.575,0.8821428571428571
1,Fold-1,0.5771739130434783,0.8695652173913043,games.csv,0.5771739130434783,0.8228260869565217,0.7293478260869566,0.7945652173913043,0.5771739130434783,0.7945652173913043,0.5771739130434783,0.7445652173913043
2,Fold-2,0.5,0.88,games.csv,0.5,0.8400000000000001,0.6799999999999999,0.8066666666666666,0.5,0.8066666666666666,0.5,0.8400000000000001
3,Fold-0,0.9166666666666669,0.7,mdwe.csv,0.7666666666666666,0.75,0.7666666666666666,0.9,0.6166666666666667,0.8,0.6166666666666667,0.9
4,Fold-1,0.8125,0.9375,mdwe.csv,0.5902777777777778,0.875,0.6875,0.9375,0.6875,0.9375,0.6875,0.8819444444444444
5,Fold-2,0.7417582417582418,0.7857142857142857,mdwe.csv,0.7417582417582418,0.7142857142857143,0.7417582417582418,0.5714285714285714,0.7417582417582418,0.5714285714285714,0.7417582417582418,0.8571428571428572
6,Fold-0,0.7617647058823529,0.7205882352941176,pair.csv,0.7147058823529412,0.9,0.7323529411764705,0.9,0.7323529411764705,0.9205882352941176,0.8029411764705883,0.85
7,Fold-1,0.6754385964912281,0.8201754385964912,pair.csv,0.6038011695906433,0.9035087719298246,0.7002923976608187,0.9166666666666669,0.7280701754385965,0.95906432748538,0.7149122807017544,0.95906432748538
8,Fold-2,0.6083333333333334,0.7020833333333334,pair.csv,0.5614583333333334,0.753125,0.6572916666666666,0.8354166666666667,0.5125,0.9354166666666668,0.434375,0.984375
9,Fold-0,0.8035714285714286,0.875,testing.csv,0.9714285714285714,0.875,0.9714285714285714,1.0,0.9714285714285714,1.0,0.9714285714285714,1.0
10,Fold-1,0.4375,0.725,testing.csv,0.925,0.725,0.925,1.0,0.925,1.0,0.925,1.0
11,Fold-2,0.6145833333333333,1.0,testing.csv,0.6145833333333333,1.0,0.6145833333333333,1.0,0.6145833333333333,1.0,0.6145833333333333,1.0
12,Fold-0,0.9655172413793104,0.8,illiterate.csv,0.9655172413793104,0.8,0.9655172413793104,1.0,0.9655172413793104,0.9,0.9655172413793104,1.0
13,Fold-1,0.7675438596491229,0.8888888888888888,illiterate.csv,0.7675438596491229,0.9444444444444444,0.7675438596491229,0.9444444444444444,0.7675438596491229,1.0,0.7675438596491229,1.0
14,Fold-2,0.9838709677419356,1.0,illiterate.csv,0.9838709677419356,1.0,0.9838709677419356,1.0,0.9838709677419356,1.0,0.9838709677419356,1.0
15,Fold-0,0.7888888888888891,1.0,ontologies.csv,0.7888888888888891,0.9814814814814814,0.7888888888888891,0.9814814814814814,0.8074074074074074,0.9814814814814814,0.825925925925926,0.9814814814814814
16,Fold-1,0.9285714285714286,0.8482142857142857,ontologies.csv,0.9196428571428572,0.9196428571428572,0.9196428571428572,0.9821428571428572,0.9375,0.9910714285714286,0.7946428571428572,1.0
17,Fold-2,0.6987179487179487,0.8044871794871795,ontologies.csv,0.7564102564102564,0.9903846153846154,0.766025641025641,1.0,0.766025641025641,1.0,0.766025641025641,0.8333333333333333
18,Fold-0,0.5,0.9,slr.csv,0.5,0.9,0.5,0.9,0.5,0.8333333333333333,0.5,1.0
19,Fold-1,0.5,0.75,slr.csv,0.5,0.6785714285714286,0.5,0.6785714285714286,0.5,0.75,0.5,0.875
20,Fold-2,0.5,0.5,slr.csv,0.5,0.625,0.5,0.5,0.5,0.5,0.5,0.5
21,Fold-0,0.9848484848484848,0.9223484848484848,xbi.csv,0.9848484848484848,0.9848484848484848,0.9848484848484848,0.9848484848484848,0.9848484848484848,0.9848484848484848,0.9848484848484848,0.9848484848484848
22,Fold-1,0.9344262295081966,1.0,xbi.csv,0.9344262295081966,0.9918032786885246,0.9344262295081966,0.9918032786885246,0.9344262295081966,0.9918032786885246,0.9344262295081966,1.0
23,Fold-2,0.8111702127659575,0.8430851063829787,xbi.csv,0.8111702127659575,0.8218085106382979,0.8111702127659575,0.9162234042553192,0.8111702127659575,0.9055851063829788,0.8111702127659575,0.9787234042553192
