fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th
Fold-0;0.9147727272727273;0.9215686274509804;0.8772609819121446;0.5555555555555556;0.8945233265720082;0.5574468085106383;0.807692307692;0.557692307692;0.728813559322;0.103411192408;0.222222222222;0.222222222222;0.823529411765;0.466666666667
Fold-1;0.7477272727272727;0.9479166666666667;0.8168604651162791;0.6875;0.7736207989854154;0.7452547452547452;0.745098039216;0.509803921569;0.899346405229;0.108230204114;0.25;0.0;0.631578947368;0.484848484848
Fold-2;0.7034883720930232;0.9479166666666667;0.7034883720930232;0.6875;0.7034883720930232;0.7452547452547452;0.764705882353;0.78431372549;0.874205844981;0.210968916415;0.5;0.25;0.5;0.705882352941
Fold-3;0.8056818181818182;0.876984126984127;0.8909883720930232;0.9142441860465116;0.8383005707038681;0.8941176470588236;0.764705882353;0.705882352941;0.906364004864;0.252639585847;0.125;0.125;0.736842105263;0.636363636364
Fold-4;0.7788461538461539;0.9777777777777779;0.8793604651162791;0.875;0.8134146341463415;0.9172077922077921;0.745098039216;0.627450980392;0.886597938144;0.197287097651;0.125;0.0;0.7;0.592592592593
