fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th
Fold-0;0.775;0.775;0.7115384615384616;0.7115384615384616;0.7285714285714285;0.7285714285714285;0.631578947368;0.315789473684;1.0;0.243711668899;0.5;0.0;0.6;0.631578947368
Fold-1;0.8285714285714285;0.8823529411764706;0.7948717948717949;0.6666666666666666;0.8080808080808081;0.6833333333333333;0.631578947368;0.473684210526;0.6;0.221060386392;0.333333333333;0.166666666667;0.727272727273;0.666666666667
Fold-2;0.5888888888888889;0.9333333333333333;0.6025641025641025;0.8333333333333333;0.5681818181818181;0.8642857142857143;0.368421052632;0.526315789474;0.777777777778;0.260009630933;0.333333333333;0.0;0.5;0.8
Fold-3;0.5238095238095238;0.90625;0.5256410256410257;0.75;0.4722222222222222;0.7816091954022988;0.263157894737;0.473684210526;0.571428571429;0.350728365433;0.333333333333;0.166666666667;0.444444444444;0.666666666667
Fold-4;0.90625;0.90625;0.75;0.75;0.7816091954022988;0.7816091954022988;0.684210526316;0.631578947368;0.666666666667;0.277049069426;0.5;0.166666666667;0.666666666667;0.833333333333
