fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th
Fold-0;0.6491596638655462;0.9635416666666667;0.699438202247191;0.65;0.6681034482758621;0.7118503118503118;0.808080808081;0.010101010101;0.578175895765;0.0373123523342;0.5;0.3;0.416666666667;0.133333333333
Fold-1;0.7006777108433735;0.7078947368421052;0.799438202247191;0.5887640449438202;0.7343470483005367;0.6156832298136646;0.808080808081;0.545454545455;0.868587213891;0.0308139439014;0.3;0.2;0.538461538462;0.301886792453
Fold-2;0.7142857142857143;0.968421052631579;0.9325842696629214;0.6666666666666666;0.763855421686747;0.7336956521739131;0.785714285714;0.102040816327;0.571658615137;0.0480318515604;0.0;0.111111111111;0.6;0.166666666667
Fold-3;0.7045454545454546;0.978494623655914;0.9269662921348314;0.7777777777777778;0.7509286412512219;0.8461538461538461;0.775510204082;0.683673469388;0.651376146789;0.0438216907517;0.0;0.111111111111;0.58064516129;0.410256410256
Fold-4;0.6305780933062881;0.6537921348314606;0.8251262626262625;0.6382575757575758;0.6400134952766532;0.6453971419076105;0.690721649485;0.567010309278;0.609589041096;0.0450004654938;0.111111111111;0.0;0.421052631579;0.352941176471
