fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.584005376344086;0.8606442577030813;0.5892857142857143;0.8678571428571429;0.5833333333333333;0.863909508660304;0.0;0.12727272727272726;0.09183673469387756;0.06149368984673721;0.0;0.05;0.5333333333333333;0.5671641791044776;0.4;0.5636363636363636;0.45;0.15
Fold-1;0.6075757575757575;0.835972850678733;0.5771739130434783;0.8228260869565217;0.5328759291023442;0.8130434782608695;0.0;0.0;0.23469387755102042;0.0637721478680801;0.0;0.0;0.6969696969696969;0.6969696969696969;0.3953488372093023;0.4418604651162791;0.6956521739130435;0.30434782608695654
Fold-2;0.3125;0.8400000000000001;0.5;0.8400000000000001;0.38461538461538464;0.8400000000000001;0.0;0.075;0.3058823529411765;0.0707085745558518;0.0;0.0;0.5454545454545454;0.5769230769230769;0.625;0.55;1.0;0.26666666666666666
