fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.7564102564102564;0.875;0.7666666666666666;0.75;0.7564935064935063;0.7619047619047619;0.44;0.6;0.5;0.5;0.2;0.3;0.7272727272727272;0.8235294117647058;0.44;0.6;0.2;0.3
Fold-1;0.5902777777777778;0.9090909090909092;0.5902777777777778;0.875;0.5882352941176471;0.8785714285714286;0.29411764705882354;0.5294117647058824;0.5;0.5;0.375;0.125;0.5882352941176471;0.9333333333333333;0.29411764705882354;0.5294117647058824;0.375;0.125
Fold-2;0.7291666666666667;0.8823529411764706;0.7417582417582418;0.7142857142857143;0.7333333333333334;0.7333333333333333;0.5;0.65;0.5;0.5;0.2857142857142857;0.2857142857142857;0.6666666666666666;0.8333333333333333;0.5;0.65;0.2857142857142857;0.2857142857142857
