fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.8952380952380952;0.9215686274509804;0.821705426356589;0.5555555555555556;0.8522727272727273;0.5574468085106383;0.807692307692;0.826923076923;0.877551020408;0.580827051327;0.333333333333;0.777777777778;0.75;0.363636363636;0.807692307692;0.826923076923;0.333333333333;0.666666666667
Fold-1;0.7477272727272727;0.8565217391304347;0.8168604651162791;0.7383720930232558;0.7736207989854154;0.7796024200518583;0.745098039216;0.823529411765;0.899346405229;0.968880850661;0.25;0.75;0.631578947368;0.363636363636;0.745098039216;0.78431372549;0.25;0.5
Fold-2;0.7402597402597402;0.9479166666666667;0.7151162790697674;0.6875;0.7264367816091954;0.7452547452547452;0.78431372549;0.843137254902;0.874205844981;0.429524164128;0.5;0.625;0.533333333333;0.545454545455;0.78431372549;0.843137254902;0.5;0.625
Fold-3;0.8056818181818182;0.9258720930232558;0.8909883720930232;0.9258720930232558;0.8383005707038681;0.9258720930232558;0.764705882353;0.823529411765;0.906364004864;0.800486422706;0.125;0.125;0.736842105263;0.875;0.764705882353;0.803921568627;0.125;0.125
Fold-4;0.7788461538461539;0.823051948051948;0.8793604651162791;0.7892441860465116;0.8134146341463415;0.8045977011494253;0.745098039216;0.803921568627;0.886597938144;0.585099926448;0.125;0.375;0.7;0.666666666667;0.745098039216;0.78431372549;0.125;0.375
