fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.6481481481481481;0.9;0.6512605042016807;0.7941176470588236;0.6493506493506493;0.8148148148148149;0.444444444444;0.622222222222;0.666666666667;0.881366201969;0.411764705882;0.764705882353;0.571428571429;0.380952380952;0.444444444444;0.533333333333;0.411764705882;0.117647058824
Fold-1;0.6401515151515151;0.8023648648648649;0.6165966386554622;0.6880252100840336;0.6184284906726965;0.6953846153846154;0.0;0.6;0.020202020202;0.919266970047;0.0;0.823529411765;0.548387096774;0.285714285714;0.511111111111;0.488888888889;0.588235294118;0.117647058824
Fold-2;0.5416666666666666;0.6992481203007519;0.5283613445378151;0.6113445378151261;0.5132211538461537;0.6022727272727273;0.511111111111;0.6;0.625;0.878913102638;0.764705882353;0.705882352941;0.307692307692;0.434782608696;0.511111111111;0.555555555556;0.764705882353;0.235294117647
Fold-3;0.6640316205533596;0.8516042780748663;0.6743697478991597;0.7762605042016807;0.6606334841628959;0.7926267281105991;0.0;0.6;0.0816326530612;0.904076498197;0.0;0.705882352941;0.548387096774;0.434782608696;0.4;0.466666666667;0.294117647059;0.0588235294118
Fold-4;0.5910087719298246;0.8089285714285714;0.5960648148148149;0.7002314814814814;0.5904761904761905;0.7110215053763441;0.395348837209;0.604651162791;0.75;0.871605450212;0.4375;0.75;0.514285714286;0.380952380952;0.395348837209;0.488372093023;0.4375;0.1875
