fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.6772727272727272;0.9166666666666667;0.788888888888889;0.9814814814814814;0.6952380952380952;0.9451114922813035;0.65625;0.15625;0.5;0.009565107792438006;0.2;0.0;0.5333333333333333;0.3125;0.65625;0.8125;0.2;0.0
Fold-1;0.71875;0.8888888888888888;0.9196428571428572;0.9821428571428572;0.760658505698607;0.928409090909091;0.746031746031746;0.15873015873015872;0.5;0.00851805198418742;0.0;0.0;0.6086956521739131;0.23333333333333334;0.746031746031746;0.8571428571428571;0.0;0.0
Fold-2;0.6002415458937198;1.0;0.766025641025641;1.0;0.6258503401360545;1.0;0.6727272727272727;0.2727272727272727;0.43096234309623416;0.013295884235505545;0.3333333333333333;0.0;0.2;0.13953488372093023;0.8181818181818182;0.9454545454545454;0.3333333333333333;0.0
