fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.5985054347826086;0.8252923976608187;0.6035714285714286;0.8178571428571428;0.5990975355779243;0.8212351029252438;0.41818181818181815;0.5636363636363636;0.5;0.5;0.45;0.25;0.5116279069767442;0.7692307692307692;0.41818181818181815;0.5636363636363636;0.45;0.25
Fold-1;0.7386877828054299;0.7945652173913043;0.7293478260869566;0.7945652173913043;0.7195652173913043;0.7906976744186046;0.3953488372093023;0.3953488372093023;0.5;0.5;0.391304347826087;0.2608695652173913;0.7;0.7906976744186046;0.3953488372093023;0.3953488372093023;0.391304347826087;0.2608695652173913
Fold-2;0.7922077922077921;0.8159340659340659;0.6799999999999999;0.8066666666666666;0.6865203761755486;0.8106828938471939;0.6;0.55;0.5;0.5;0.6;0.26666666666666666;0.5454545454545455;0.7586206896551724;0.6;0.55;0.6;0.26666666666666666
