fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.9444444444444444;0.9444444444444444;0.9848484848484849;0.9848484848484849;0.96289592760181;0.96289592760181;0.7804878048780488;0.7560975609756098;0.5;0.026632344532169613;0.0;0.0;0.9411764705882353;0.888888888888889;0.7804878048780488;0.7804878048780488;0.0;0.0
Fold-1;0.7142857142857143;1.0;0.9344262295081966;1.0;0.7649122807017543;1.0;0.7910447761194029;0.7611940298507462;0.5;0.031010994211177603;0.0;0.0;0.6;0.5454545454545454;0.7910447761194029;0.9104477611940298;0.0;0.0
Fold-2;0.7267441860465116;0.9;0.8111702127659575;0.9787234042553192;0.7555555555555555;0.9335748792270532;0.7454545454545455;0.7090909090909091;0.5;0.0638522874208118;0.25;0.0;0.6;0.6666666666666666;0.7454545454545455;0.8181818181818182;0.25;0.0
