fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.57;0.8821428571428571;0.575;0.8821428571428571;0.5675213675213675;0.8821428571428571;0.0;0.5818181818181818;0.16883116883116897;0.5;0.0;0.15;0.5333333333333333;0.85;0.38181818181818183;0.5818181818181818;0.45;0.15
Fold-1;0.6075757575757575;0.7435064935064934;0.5771739130434783;0.7445652173913043;0.5328759291023442;0.743631436314363;0.0;0.37209302325581395;0.3858597962852004;0.5;0.0;0.34782608695652173;0.6969696969696969;0.7142857142857143;0.3953488372093023;0.37209302325581395;0.6956521739130435;0.34782608695652173
Fold-2;0.1875;0.8400000000000001;0.5;0.8400000000000001;0.2727272727272727;0.8400000000000001;0.0;0.575;0.5;0.5;0.0;0.3333333333333333;0.5454545454545454;0.7407407407407408;0.0;0.575;0.0;0.3333333333333333
