fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.7829670329670331;0.925;0.8029411764705883;0.85;0.7750000000000001;0.8712241653418124;0.4444444444444444;0.4074074074074074;0.5;0.03397405620949201;0.1;0.1;0.75;0.7200000000000001;0.4444444444444444;0.6296296296296297;0.1;0.3
Fold-1;0.7;0.9590643274853801;0.7149122807017544;0.9590643274853801;0.7049525816649105;0.9590643274853801;0.5178571428571429;0.625;0.5;0.18796519813082646;0.3333333333333333;0.05555555555555555;0.6153846153846153;0.8947368421052632;0.5178571428571429;0.6607142857142857;0.3333333333333333;0.05555555555555555
Fold-2;0.4429347826086957;0.96875;0.434375;0.984375;0.4257518796992481;0.9759344598054276;0.3191489361702128;0.6170212765957447;0.5;0.35876615194169575;0.6;0.0;0.31578947368421056;0.9090909090909091;0.3191489361702128;0.6595744680851063;0.6;0.0
