fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.6136363636363636;0.9411764705882353;0.6166666666666667;0.9;0.5993589743589743;0.9131944444444444;0.32;0.6;0.5;0.48132536671719206;0.3;0.2;0.5833333333333334;0.888888888888889;0.32;0.6;0.3;0.2
Fold-1;0.8214285714285714;0.8819444444444444;0.6875;0.8819444444444444;0.6640316205533596;0.8819444444444444;0.5294117647058824;0.4117647058823529;0.5;0.5;0.625;0.125;0.5454545454545454;0.823529411764706;0.5294117647058824;0.4117647058823529;0.625;0.125
Fold-2;0.7291666666666667;0.9333333333333333;0.7417582417582418;0.8571428571428572;0.7333333333333334;0.8809523809523809;0.5;0.65;0.5;0.5;0.2857142857142857;0.2857142857142857;0.6666666666666666;0.8333333333333333;0.5;0.65;0.2857142857142857;0.2857142857142857
