fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.8571428571428572;1.0;0.9655172413793103;1.0;0.8988095238095237;1.0;0.7941176470588235;0.8529411764705882;0.5;0.5;0.0;0.0;0.8333333333333333;1.0;0.7941176470588235;0.8529411764705882;0.0;0.0
Fold-1;0.731060606060606;1.0;0.7675438596491229;1.0;0.7459459459459459;1.0;0.7021276595744681;0.8085106382978723;0.5;0.5;0.3333333333333333;0.0;0.6;1.0;0.7021276595744681;0.8085106382978723;0.3333333333333333;0.0
Fold-2;0.9;1.0;0.9838709677419355;1.0;0.9362477231329691;1.0;0.8571428571428571;0.8857142857142857;0.5;0.5;0.0;0.0;0.888888888888889;1.0;0.8571428571428571;0.8857142857142857;0.0;0.0
