fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.6923963133640554;0.7537878787878788;0.6754201680672269;0.7111344537815126;0.6801530891197376;0.7201808931599775;0.0;0.2;0.0808080808081;0.259363578064;0.0;0.0;0.548387096774;0.641509433962;0.511111111111;0.555555555556;0.470588235294;0.294117647059
Fold-1;0.8372844827586207;0.8357142857142857;0.828781512605042;0.7468487394957983;0.8325358851674641;0.761904761904762;0.0;0.0888888888889;0.010989010989;0.24520488328;0.0;0.0588235294118;0.548387096774;0.561403508772;0.555555555556;0.6;0.235294117647;0.411764705882
Fold-2;0.6401515151515151;0.7666666666666666;0.6165966386554622;0.7521008403361344;0.6184284906726965;0.7575431034482759;0.0;0.2;0.020202020202;0.256824170655;0.0;0.0;0.548387096774;0.641509433962;0.444444444444;0.533333333333;0.352941176471;0.352941176471
Fold-3;0.6640316205533596;0.8106060606060606;0.6743697478991597;0.7584033613445378;0.6606334841628959;0.7710570944036179;0.0;0.0888888888889;0.0505050505051;0.270557686623;0.0;0.0;0.548387096774;0.586206896552;0.4;0.488888888889;0.294117647059;0.411764705882
Fold-4;0.5844155844155844;0.6577777777777778;0.5902777777777778;0.6643518518518519;0.5756578947368421;0.659502262443439;0.0;0.232558139535;0.0104166666667;0.336628025381;0.0;0.125;0.542372881356;0.595744680851;0.348837209302;0.372093023256;0.375;0.3125
