fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.7857142857142857;0.8607843137254902;0.9375;0.7395833333333333;0.8303030303030303;0.7824397824397824;0.75;0.5;0.709193245779;0.0297374378406;0.0;0.0;0.727272727273;0.444444444444;0.75;0.839285714286;0.0;0.5
Fold-1;0.757602862254025;0.8607843137254902;0.875;0.7395833333333333;0.7948717948717949;0.7824397824397824;0.75;0.589285714286;0.893835616438;0.0453297425898;0.125;0.0;0.666666666667;0.516129032258;0.75;0.839285714286;0.125;0.5
Fold-2;0.75;0.8860544217687075;0.9148936170212766;0.8018617021276595;0.7868217054263565;0.8363095238095237;0.709090909091;0.490909090909;0.903426791277;0.0360777937634;0.0;0.0;0.666666666667;0.444444444444;0.709090909091;0.836363636364;0.0;0.375
Fold-3;0.8537234042553192;0.8860544217687075;0.8537234042553192;0.8018617021276595;0.8537234042553192;0.8363095238095237;0.818181818182;0.818181818182;0.91270498592;0.147531132612;0.25;0.25;0.75;0.75;0.818181818182;0.836363636364;0.25;0.375
Fold-4;0.75;1.0;0.925531914893617;1.0;0.7931034482758621;1.0;0.740740740741;0.462962962963;0.748031496063;0.0461942228613;0.0;0.0;0.666666666667;0.388888888889;0.740740740741;0.87037037037;0.0;0.0
