fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.6182692307692308;0.7484472049689441;0.6078947368421053;0.6403508771929824;0.6117216117216118;0.6558441558441558;0.0;0.264150943396;0.0912182436487;0.154325882446;0.0;0.0;0.441176470588;0.555555555556;0.584905660377;0.698113207547;0.6;0.866666666667
Fold-1;0.672463768115942;0.8376623376623377;0.7087719298245614;0.7736842105263158;0.671826625386997;0.7961538461538462;0.0566037735849;0.528301886792;0.103424812883;0.239323695071;0.2;0.2;0.387096774194;0.648648648649;0.490566037736;0.698113207547;0.266666666667;0.933333333333
Fold-2;0.7631964809384164;0.8730769230769231;0.8149122807017544;0.8403508771929824;0.7716412064238152;0.8543956043956044;0.0188679245283;0.471698113208;0.0981700753498;0.242926047825;0.0;0.0;0.44776119403;0.697674418605;0.547169811321;0.716981132075;0.133333333333;1.0
Fold-3;0.5303030303030303;0.7445054945054945;0.5210526315789473;0.7342105263157894;0.5152439024390244;0.7389162561576355;0.0;0.433962264151;0.129942295362;0.220191975823;0.0;0.133333333333;0.441176470588;0.604651162791;0.603773584906;0.716981132075;0.8;0.933333333333
Fold-4;0.6094452773613194;0.728125;0.637218045112782;0.7744360902255639;0.6014521984671237;0.7378151260504202;0.0;0.326923076923;0.0867579908676;0.201377222742;0.0;0.0;0.424242424242;0.571428571429;0.461538461538;0.653846153846;0.357142857143;0.428571428571
