fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.9166666666666667;0.8571428571428572;0.9166666666666667;0.7;0.9166666666666667;0.7023809523809523;0.36;0.6;0.3333333333333333;0.5;0.1;0.4;0.7200000000000001;0.7499999999999999;0.56;0.6;0.1;0.4
Fold-1;0.875;0.95;0.8125;0.9375;0.8131868131868132;0.9403508771929825;0.5294117647058824;0.5294117647058824;0.5;0.5;0.375;0.125;0.7692307692307693;0.9333333333333333;0.5294117647058824;0.5294117647058824;0.375;0.125
Fold-2;0.7291666666666667;0.90625;0.7417582417582418;0.7857142857142857;0.7333333333333334;0.8119122257053292;0.5;0.65;0.5;0.5;0.2857142857142857;0.2857142857142857;0.6666666666666666;0.8333333333333333;0.5;0.65;0.2857142857142857;0.2857142857142857
