fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.8571428571428572;0.967741935483871;0.9655172413793103;0.8;0.8988095238095237;0.8583333333333332;0.20588235294117646;0.29411764705882354;0.03815513626834392;0.0661567707530016;0.0;0.2;0.3125;0.2857142857142857;0.7941176470588235;0.8529411764705882;0.0;0.4
Fold-1;0.731060606060606;0.975;0.7675438596491229;0.8888888888888888;0.7459459459459459;0.9246794871794872;0.0851063829787234;0.1276595744680851;0.05568445475638064;0.060622673902803285;0.2222222222222222;0.1111111111111111;0.27999999999999997;0.326530612244898;0.7021276595744681;0.8085106382978723;0.3333333333333333;0.2222222222222222
Fold-2;0.9;1.0;0.9838709677419355;1.0;0.9362477231329691;1.0;0.02857142857142857;0.17142857142857143;0.06137968495382956;0.07835138104828941;0.0;0.0;0.21052631578947367;0.2424242424242424;0.8571428571428571;0.8857142857142857;0.0;0.0
