fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.6491596638655462;0.7219101123595506;0.699438202247191;0.7219101123595506;0.6681034482758621;0.7219101123595506;0.808080808081;0.626262626263;0.578175895765;0.042019270164;0.5;0.4;0.416666666667;0.279069767442;0.808080808081;0.878787878788;0.5;0.6
Fold-1;0.7006777108433735;0.7531055900621118;0.799438202247191;0.6831460674157304;0.7343470483005367;0.7104322391940201;0.808080808081;0.868686868687;0.868587213891;0.535411836798;0.3;0.7;0.538461538462;0.375;0.808080808081;0.868686868687;0.3;0.6
Fold-2;0.725;0.8351648351648352;0.9382022471910112;0.766541822721598;0.77741069584968;0.7958333333333334;0.612244897959;0.663265306122;0.421915854528;0.0484762427332;0.0;0.0;0.382978723404;0.428571428571;0.795918367347;0.887755102041;0.0;0.555555555556
Fold-3;0.75;0.989010989010989;0.949438202247191;0.8888888888888888;0.806706114398422;0.9319444444444445;0.714285714286;0.734693877551;0.393482598094;0.0520137111472;0.0;0.0;0.486486486486;0.514285714286;0.816326530612;0.908163265306;0.0;0.333333333333
Fold-4;0.641005291005291;0.8274509803921568;0.836489898989899;0.9217171717171717;0.6589310829817159;0.8665015139003578;0.577319587629;0.60824742268;0.351952545724;0.0494362514638;0.0;0.0;0.36;0.382978723404;0.711340206186;0.876288659794;0.111111111111;0.444444444444
