,fold,decision_tree_exclusion_x,svm_exclusion_x,group,decision_tree_exclusion_y,svm_exclusion_y,decision_tree_exclusion_x,svm_exclusion_x,decision_tree_exclusion_y,svm_exclusion_y,decision_tree_exclusion,svm_exclusion
0,Fold-0,0.111111111111,0.155555555556,games.csv,0.0,0.2,0.533333333333,0.4,0.422222222222,0.555555555556,0.4,0.622222222222
1,Fold-1,0.06666666666669999,0.0,games.csv,0.0,0.0888888888889,0.0,0.46666666666699996,0.533333333333,0.6,0.444444444444,0.6
2,Fold-2,0.0,0.155555555556,games.csv,0.0,0.2,0.0,0.511111111111,0.511111111111,0.555555555556,0.444444444444,0.6
3,Fold-3,0.0,0.044444444444399996,games.csv,0.0,0.0888888888889,0.0,0.35555555555600005,0.0,0.511111111111,0.46666666666699996,0.6
4,Fold-4,0.0,0.116279069767,games.csv,0.0,0.23255813953499999,0.0,0.348837209302,0.395348837209,0.5581395348839999,0.395348837209,0.6046511627910001
5,Fold-0,0.631578947368,0.263157894737,mdwe.csv,0.631578947368,0.315789473684,0.47368421052599996,0.6842105263160001,0.526315789474,0.631578947368,0.315789473684,0.6842105263160001
6,Fold-1,0.631578947368,0.47368421052599996,mdwe.csv,0.631578947368,0.47368421052599996,0.578947368421,0.6842105263160001,0.526315789474,0.6842105263160001,0.6842105263160001,0.6842105263160001
7,Fold-2,0.315789473684,0.42105263157899997,mdwe.csv,0.368421052632,0.526315789474,0.526315789474,0.6842105263160001,0.526315789474,0.6842105263160001,0.631578947368,0.6842105263160001
8,Fold-3,0.263157894737,0.42105263157899997,mdwe.csv,0.263157894737,0.47368421052599996,0.315789473684,0.6842105263160001,0.210526315789,0.6842105263160001,0.263157894737,0.6842105263160001
9,Fold-4,0.631578947368,0.526315789474,mdwe.csv,0.6842105263160001,0.631578947368,0.631578947368,0.6842105263160001,0.578947368421,0.6842105263160001,0.631578947368,0.6842105263160001
10,Fold-0,0.0,0.11320754717,pair.csv,0.0,0.09433962264149999,0.452830188679,0.264150943396,0.471698113208,0.37735849056599996,0.452830188679,0.43396226415100003
11,Fold-1,0.0,0.320754716981,pair.csv,0.0,0.339622641509,0.641509433962,0.528301886792,0.622641509434,0.547169811321,0.603773584906,0.622641509434
12,Fold-2,0.0,0.28301886792500003,pair.csv,0.0754716981132,0.245283018868,0.641509433962,0.471698113208,0.547169811321,0.490566037736,0.5094339622640001,0.5094339622640001
13,Fold-3,0.0,0.264150943396,pair.csv,0.0,0.301886792453,0.603773584906,0.43396226415100003,0.584905660377,0.452830188679,0.584905660377,0.452830188679
14,Fold-4,0.0,0.153846153846,pair.csv,0.0,0.153846153846,0.5,0.326923076923,0.557692307692,0.346153846154,0.519230769231,0.36538461538500006
15,Fold-0,0.32394366197200003,0.0140845070423,testing.csv,0.760563380282,0.30985915493,0.760563380282,0.802816901408,0.760563380282,0.802816901408,0.760563380282,0.788732394366
16,Fold-1,0.507042253521,0.0,testing.csv,0.633802816901,0.718309859155,0.633802816901,0.887323943662,0.633802816901,0.788732394366,0.633802816901,0.816901408451
17,Fold-2,0.478873239437,0.0,testing.csv,0.633802816901,0.605633802817,0.633802816901,0.87323943662,0.633802816901,0.760563380282,0.633802816901,0.915492957746
18,Fold-3,0.591549295775,0.0,testing.csv,0.492957746479,0.619718309859,0.492957746479,0.859154929577,0.492957746479,0.732394366197,0.492957746479,0.746478873239
19,Fold-4,0.901408450704,0.281690140845,testing.csv,0.352112676056,0.915492957746,0.352112676056,0.915492957746,0.352112676056,0.901408450704,0.352112676056,0.915492957746
20,Fold-0,0.173076923077,0.0192307692308,illiterate.csv,0.807692307692,0.557692307692,0.807692307692,0.826923076923,0.807692307692,0.826923076923,0.807692307692,0.826923076923
21,Fold-1,0.745098039216,0.666666666667,illiterate.csv,0.745098039216,0.509803921569,0.745098039216,0.843137254902,0.745098039216,0.843137254902,0.745098039216,0.8235294117649999
22,Fold-2,0.078431372549,0.0,illiterate.csv,0.7647058823530001,0.78431372549,0.7647058823530001,0.843137254902,0.78431372549,0.843137254902,0.78431372549,0.843137254902
23,Fold-3,0.176470588235,0.0,illiterate.csv,0.7647058823530001,0.705882352941,0.725490196078,0.8235294117649999,0.7647058823530001,0.803921568627,0.7647058823530001,0.8235294117649999
24,Fold-4,0.117647058824,0.0,illiterate.csv,0.745098039216,0.627450980392,0.745098039216,0.843137254902,0.745098039216,0.8235294117649999,0.745098039216,0.803921568627
25,Fold-0,0.7979797979800001,0.717171717172,ontologies.csv,0.808080808081,0.010101010100999999,0.808080808081,0.626262626263,0.808080808081,0.868686868687,0.8181818181820001,0.767676767677
26,Fold-1,0.787878787879,0.747474747475,ontologies.csv,0.808080808081,0.545454545455,0.808080808081,0.868686868687,0.808080808081,0.878787878788,0.808080808081,0.878787878788
