,fold,decision_tree_fscore_x,svm_fscore_x,group,decision_tree_fscore_y,svm_fscore_y,decision_tree_fscore_x,svm_fscore_x,decision_tree_fscore_y,svm_fscore_y,decision_tree_fscore,svm_fscore
0,Fold-0,0.75,0.6787800129785853,games.csv,0.7575431034482759,0.7201808931599775,0.7575431034482759,0.8,0.6296296296296297,0.8500000000000001,0.6025974025974026,0.8148148148148149
1,Fold-1,0.7201808931599775,0.6953846153846154,games.csv,0.6801530891197376,0.7619047619047621,0.6499999999999999,0.7926267281105991,0.6560846560846559,0.7295673076923076,0.5635775862068965,0.6953846153846154
2,Fold-2,0.6025974025974026,0.6889952153110047,games.csv,0.5933014354066986,0.7575431034482759,0.6218487394957983,0.7201808931599775,0.5502645502645502,0.6754807692307693,0.5675522894290559,0.6022727272727273
3,Fold-3,0.6296296296296297,0.7295673076923076,games.csv,0.6356275303643726,0.7710570944036179,0.6356275303643726,0.7089947089947091,0.6218487394957983,0.8,0.6605603448275862,0.7926267281105991
4,Fold-4,0.5968008825151682,0.6928571428571428,games.csv,0.5756578947368421,0.659502262443439,0.5493656922228349,0.729559748427673,0.5904761904761905,0.7794871794871794,0.6312178387650086,0.7110215053763441
5,Fold-0,0.7285714285714285,0.8782051282051282,mdwe.csv,0.7285714285714285,0.7285714285714285,0.7840909090909091,0.8642857142857143,0.8347826086956522,0.7738095238095237,0.631578947368421,0.8782051282051282
6,Fold-1,0.7285714285714285,0.6833333333333333,mdwe.csv,0.8080808080808081,0.6833333333333333,0.4904214559386973,0.7816091954022988,0.7076923076923076,0.8642857142857143,0.6833333333333333,0.6833333333333333
7,Fold-2,0.8642857142857143,0.8869047619047619,mdwe.csv,0.5681818181818181,0.8642857142857143,0.7076923076923076,0.8642857142857143,0.7076923076923076,0.8246153846153845,0.6360153256704981,0.8080808080808081
8,Fold-3,0.5263157894736842,0.6346153846153846,mdwe.csv,0.4722222222222222,0.7816091954022988,0.5210084033613446,0.6833333333333333,0.42105263157894735,0.8642857142857143,0.4722222222222222,0.8642857142857143
9,Fold-4,0.8080808080808081,0.7816091954022988,mdwe.csv,0.7816091954022988,0.7816091954022988,0.8080808080808081,0.7816091954022988,0.7564102564102564,0.9360269360269359,0.7285714285714285,0.7816091954022988
10,Fold-0,0.6117216117216118,0.6439767129422301,pair.csv,0.6117216117216118,0.6432692307692307,0.6386363636363637,0.6558441558441558,0.6214285714285714,0.6140056022408963,0.6055620838229534,0.647307924984876
11,Fold-1,0.6891495601173021,0.7948387096774193,pair.csv,0.6891495601173021,0.8058608058608059,0.7863860277653381,0.7961538461538462,0.7087912087912088,0.7961538461538462,0.749247311827957,0.7306910569105691
12,Fold-2,0.8404301075268819,0.749247311827957,pair.csv,0.7363184079601991,0.8404301075268819,0.7573260073260073,0.8543956043956044,0.6597530864197529,0.8471153846153846,0.6768292682926829,0.8167901234567903
13,Fold-3,0.5152439024390244,0.7675438596491229,pair.csv,0.5152439024390244,0.7573260073260073,0.6272855133614628,0.7389162561576355,0.7314189189189189,0.7451923076923077,0.7314189189189189,0.6946045049764276
14,Fold-4,0.6014521984671237,0.7450980392156862,pair.csv,0.6014521984671237,0.8391515687140964,0.6067226890756303,0.7378151260504202,0.7248677248677249,0.7189189189189189,0.59375,0.8156962025316457
15,Fold-0,0.8220551378446115,0.6243386243386244,testing.csv,0.7886904761904763,0.7350746268656716,0.7886904761904763,0.6026119402985075,0.7886904761904763,0.7350746268656716,0.7886904761904763,0.6243386243386244
16,Fold-1,0.726923076923077,0.7350746268656716,testing.csv,0.7391076115485564,0.8924242424242425,0.7391076115485564,0.8924242424242425,0.7391076115485564,0.8220551378446115,0.7391076115485564,0.4779411764705882
17,Fold-2,0.8179487179487179,0.8220551378446115,testing.csv,0.7883124627310674,0.8220551378446115,0.7883124627310674,0.8220551378446115,0.7883124627310674,0.8220551378446115,0.7883124627310674,0.8220551378446115
18,Fold-3,0.7036374478234944,0.6243386243386244,testing.csv,0.7622767857142858,0.6243386243386244,0.7622767857142858,0.8924242424242425,0.7622767857142858,0.6243386243386244,0.7622767857142858,0.6243386243386244
19,Fold-4,0.6026119402985075,0.6243386243386244,testing.csv,0.6324705882352941,0.6243386243386244,0.6324705882352941,0.6026119402985075,0.6324705882352941,0.6243386243386244,0.6324705882352941,0.4779411764705882
20,Fold-0,0.8945233265720082,0.4526315789473684,illiterate.csv,0.8945233265720082,0.5574468085106383,0.8522727272727273,0.4526315789473684,0.8522727272727273,0.5574468085106383,0.8522727272727273,0.5574468085106383
21,Fold-1,0.7736207989854154,0.867761452031115,illiterate.csv,0.7736207989854154,0.7452547452547452,0.7736207989854154,0.7452547452547452,0.7736207989854154,0.7796024200518583,0.7736207989854154,0.7796024200518583
22,Fold-2,0.7529411764705882,0.7452547452547452,illiterate.csv,0.7034883720930232,0.7452547452547452,0.7529411764705882,0.6673913043478261,0.7776162790697674,0.7452547452547452,0.7264367816091954,0.7452547452547452
23,Fold-3,0.8383005707038681,0.8941176470588236,illiterate.csv,0.8383005707038681,0.8941176470588236,0.7901234567901235,0.8941176470588236,0.8383005707038681,0.8941176470588236,0.8383005707038681,0.9258720930232558
24,Fold-4,0.8134146341463415,0.867761452031115,illiterate.csv,0.8134146341463415,0.917207792207792,0.8500881834215168,0.867761452031115,0.8500881834215168,0.8827586206896552,0.8134146341463415,0.8045977011494253
25,Fold-0,0.6566473988439305,0.7747806304842378,ontologies.csv,0.6681034482758621,0.7118503118503118,0.6681034482758621,0.7219101123595506,0.6681034482758621,0.6754098360655738,0.6802484472049689,0.6156832298136646
26,Fold-1,0.7088235294117646,0.6156832298136646,ontologies.csv,0.7343470483005367,0.6156832298136646,0.7343470483005367,0.7104322391940201,0.7343470483005367,0.6754098360655738,0.7343470483005367,0.6156832298136646
