,fold,decision_tree_missed_baseline_x,svm_missed_baseline_x,group,decision_tree_missed_baseline_y,svm_missed_baseline_y,decision_tree_missed_baseline_x,svm_missed_baseline_x,decision_tree_missed_baseline_y,svm_missed_baseline_y,decision_tree_missed_baseline,svm_missed_baseline
0,Fold-0,0.41176470588200004,0.294117647059,games.csv,0.470588235294,0.294117647059,0.41176470588200004,0.176470588235,0.529411764706,0.117647058824,0.41176470588200004,0.117647058824
1,Fold-1,0.470588235294,0.117647058824,games.csv,0.235294117647,0.41176470588200004,0.647058823529,0.117647058824,0.647058823529,0.0588235294118,0.588235294118,0.117647058824
2,Fold-2,0.470588235294,0.0,games.csv,0.35294117647100004,0.35294117647100004,0.41176470588200004,0.235294117647,0.470588235294,0.235294117647,0.7647058823530001,0.235294117647
3,Fold-3,0.41176470588200004,0.41176470588200004,games.csv,0.294117647059,0.41176470588200004,0.35294117647100004,0.41176470588200004,0.35294117647100004,0.0,0.294117647059,0.0588235294118
4,Fold-4,0.375,0.25,games.csv,0.375,0.3125,0.4375,0.1875,0.4375,0.1875,0.4375,0.1875
5,Fold-0,0.5,0.166666666667,mdwe.csv,0.0,0.166666666667,0.0,0.166666666667,0.0,0.0,0.0,0.0
6,Fold-1,0.5,0.5,mdwe.csv,0.833333333333,0.666666666667,0.833333333333,0.33333333333299997,0.33333333333299997,0.33333333333299997,0.666666666667,0.166666666667
7,Fold-2,0.33333333333299997,0.0,mdwe.csv,0.33333333333299997,0.5,0.33333333333299997,0.0,0.33333333333299997,0.0,0.33333333333299997,0.0
8,Fold-3,0.166666666667,0.5,mdwe.csv,0.33333333333299997,0.5,0.33333333333299997,0.0,0.33333333333299997,0.33333333333299997,0.33333333333299997,0.0
9,Fold-4,0.33333333333299997,0.5,mdwe.csv,0.33333333333299997,0.5,0.33333333333299997,0.166666666667,0.33333333333299997,0.166666666667,0.33333333333299997,0.0
10,Fold-0,0.6,0.933333333333,pair.csv,0.6,0.933333333333,0.6,0.8666666666670001,0.4,0.733333333333,0.33333333333299997,0.666666666667
11,Fold-1,0.06666666666669999,0.533333333333,pair.csv,0.06666666666669999,0.46666666666699996,0.266666666667,0.933333333333,0.46666666666699996,0.533333333333,0.33333333333299997,0.33333333333299997
12,Fold-2,0.2,0.533333333333,pair.csv,0.133333333333,0.33333333333299997,0.133333333333,1.0,0.6,0.666666666667,0.666666666667,0.266666666667
13,Fold-3,0.8,0.46666666666699996,pair.csv,0.8,0.4,0.8,0.933333333333,0.33333333333299997,0.533333333333,0.4,0.4
14,Fold-4,0.357142857143,0.428571428571,pair.csv,0.357142857143,0.357142857143,0.357142857143,0.428571428571,0.428571428571,0.357142857143,0.714285714286,0.357142857143
15,Fold-0,1.0,0.833333333333,testing.csv,0.166666666667,0.666666666667,0.166666666667,0.33333333333299997,0.166666666667,0.666666666667,0.166666666667,0.5
