,fold,decision_tree_missed_baseline_x,svm_missed_baseline_x,group,decision_tree_missed_baseline_y,svm_missed_baseline_y,decision_tree_missed_baseline_x,svm_missed_baseline_x,decision_tree_missed_baseline_y,svm_missed_baseline_y,decision_tree_missed_baseline,svm_missed_baseline
16,Fold-1,0.666666666667,0.5,testing.csv,0.33333333333299997,0.33333333333299997,0.33333333333299997,0.33333333333299997,0.33333333333299997,0.5,0.33333333333299997,0.33333333333299997
17,Fold-2,0.833333333333,0.5,testing.csv,0.33333333333299997,0.33333333333299997,0.33333333333299997,0.5,0.33333333333299997,0.5,0.33333333333299997,0.0
18,Fold-3,0.5,0.666666666667,testing.csv,0.33333333333299997,0.5,0.33333333333299997,0.166666666667,0.33333333333299997,0.833333333333,0.33333333333299997,0.166666666667
19,Fold-4,0.33333333333299997,0.833333333333,testing.csv,0.5,0.833333333333,0.5,0.833333333333,0.5,0.833333333333,0.5,0.833333333333
20,Fold-0,0.222222222222,1.0,illiterate.csv,0.222222222222,0.888888888889,0.33333333333299997,0.777777777778,0.33333333333299997,1.0,0.33333333333299997,0.666666666667
21,Fold-1,0.25,0.375,illiterate.csv,0.25,0.625,0.25,0.375,0.25,0.625,0.25,0.5
22,Fold-2,0.375,0.625,illiterate.csv,0.5,0.625,0.375,0.625,0.375,0.625,0.5,0.625
23,Fold-3,0.125,0.125,illiterate.csv,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
24,Fold-4,0.125,0.375,illiterate.csv,0.125,0.25,0.0,0.125,0.0,0.375,0.125,0.375
25,Fold-0,0.5,0.9,ontologies.csv,0.5,0.6,0.5,0.6,0.5,0.7,0.5,0.8
26,Fold-1,0.3,1.0,ontologies.csv,0.3,0.8,0.3,0.6,0.3,0.5,0.3,0.7
27,Fold-2,0.0,1.0,ontologies.csv,0.0,0.666666666667,0.0,0.555555555556,0.0,0.444444444444,0.0,0.555555555556
28,Fold-3,0.0,1.0,ontologies.csv,0.0,0.33333333333299997,0.0,0.33333333333299997,0.0,0.222222222222,0.0,0.444444444444
29,Fold-4,0.0,1.0,ontologies.csv,0.111111111111,0.666666666667,0.111111111111,0.444444444444,0.111111111111,0.33333333333299997,0.111111111111,0.222222222222
30,Fold-0,0.0,0.0,slr.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Fold-1,0.0,0.2,slr.csv,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.4
32,Fold-2,0.0,0.2,slr.csv,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2
33,Fold-3,0.0,0.0,slr.csv,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
34,Fold-4,0.0,0.0,slr.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Fold-0,0.0,0.5,xbi.csv,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5
36,Fold-1,0.125,0.5,xbi.csv,0.125,0.5,0.125,0.5,0.125,0.5,0.125,0.5
37,Fold-2,0.125,0.375,xbi.csv,0.125,0.375,0.125,0.375,0.0,0.375,0.125,0.375
38,Fold-3,0.25,0.375,xbi.csv,0.25,0.375,0.25,0.375,0.25,0.375,0.25,0.375
39,Fold-4,0.0,0.0,xbi.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
