,fold,decision_tree_exclusion_baseline_x,svm_exclusion_baseline_x,group,decision_tree_exclusion_baseline_y,svm_exclusion_baseline_y,decision_tree_exclusion_baseline_x,svm_exclusion_baseline_x,decision_tree_exclusion_baseline_y,svm_exclusion_baseline_y,decision_tree_exclusion_baseline,svm_exclusion_baseline
0,Fold-0,0.555555555556,0.6,games.csv,0.511111111111,0.555555555556,0.533333333333,0.48888888888899995,0.48888888888899995,0.533333333333,0.444444444444,0.533333333333
1,Fold-1,0.555555555556,0.533333333333,games.csv,0.555555555556,0.6,0.511111111111,0.555555555556,0.555555555556,0.555555555556,0.511111111111,0.48888888888899995
2,Fold-2,0.422222222222,0.0,games.csv,0.444444444444,0.533333333333,0.555555555556,0.533333333333,0.48888888888899995,0.555555555556,0.511111111111,0.555555555556
3,Fold-3,0.422222222222,0.48888888888899995,games.csv,0.4,0.48888888888899995,0.37777777777800003,0.577777777778,0.4,0.444444444444,0.4,0.46666666666699996
4,Fold-4,0.37209302325599997,0.395348837209,games.csv,0.348837209302,0.37209302325599997,0.395348837209,0.37209302325599997,0.325581395349,0.53488372093,0.395348837209,0.488372093023
5,Fold-0,0.631578947368,0.526315789474,mdwe.csv,0.526315789474,0.526315789474,0.47368421052599996,0.631578947368,0.526315789474,0.47368421052599996,0.263157894737,0.47368421052599996
6,Fold-1,0.631578947368,0.6842105263160001,mdwe.csv,0.578947368421,0.6842105263160001,0.578947368421,0.631578947368,0.526315789474,0.631578947368,0.6842105263160001,0.631578947368
7,Fold-2,0.6842105263160001,0.578947368421,mdwe.csv,0.578947368421,0.6842105263160001,0.526315789474,0.631578947368,0.526315789474,0.47368421052599996,0.526315789474,0.526315789474
8,Fold-3,0.263157894737,0.526315789474,mdwe.csv,0.263157894737,0.631578947368,0.315789473684,0.578947368421,0.210526315789,0.6842105263160001,0.263157894737,0.368421052632
9,Fold-4,0.631578947368,0.6842105263160001,mdwe.csv,0.631578947368,0.6842105263160001,0.631578947368,0.631578947368,0.578947368421,0.6842105263160001,0.578947368421,0.6842105263160001
10,Fold-0,0.584905660377,0.641509433962,pair.csv,0.584905660377,0.660377358491,0.584905660377,0.698113207547,0.490566037736,0.679245283019,0.471698113208,0.679245283019
11,Fold-1,0.43396226415100003,0.660377358491,pair.csv,0.43396226415100003,0.660377358491,0.490566037736,0.698113207547,0.622641509434,0.679245283019,0.603773584906,0.660377358491
12,Fold-2,0.641509433962,0.641509433962,pair.csv,0.5094339622640001,0.660377358491,0.547169811321,0.7169811320749999,0.641509433962,0.698113207547,0.660377358491,0.660377358491
13,Fold-3,0.603773584906,0.679245283019,pair.csv,0.603773584906,0.660377358491,0.603773584906,0.7169811320749999,0.584905660377,0.660377358491,0.641509433962,0.660377358491
14,Fold-4,0.46153846153800004,0.634615384615,pair.csv,0.46153846153800004,0.653846153846,0.46153846153800004,0.653846153846,0.634615384615,0.576923076923,0.615384615385,0.596153846154
15,Fold-0,0.901408450704,0.915492957746,testing.csv,0.845070422535,0.915492957746,0.845070422535,0.901408450704,0.845070422535,0.901408450704,0.845070422535,0.859154929577
16,Fold-1,0.859154929577,0.887323943662,testing.csv,0.845070422535,0.87323943662,0.845070422535,0.901408450704,0.845070422535,0.915492957746,0.845070422535,0.816901408451
17,Fold-2,0.901408450704,0.915492957746,testing.csv,0.87323943662,0.915492957746,0.87323943662,0.915492957746,0.87323943662,0.915492957746,0.87323943662,0.830985915493
18,Fold-3,0.577464788732,0.915492957746,testing.csv,0.859154929577,0.901408450704,0.859154929577,0.915492957746,0.859154929577,0.901408450704,0.859154929577,0.69014084507
19,Fold-4,0.352112676056,0.915492957746,testing.csv,0.802816901408,0.901408450704,0.802816901408,0.901408450704,0.802816901408,0.915492957746,0.802816901408,0.901408450704
20,Fold-0,0.807692307692,0.807692307692,illiterate.csv,0.807692307692,0.807692307692,0.807692307692,0.826923076923,0.807692307692,0.826923076923,0.807692307692,0.826923076923
21,Fold-1,0.745098039216,0.843137254902,illiterate.csv,0.745098039216,0.843137254902,0.745098039216,0.8235294117649999,0.745098039216,0.843137254902,0.745098039216,0.78431372549
22,Fold-2,0.7647058823530001,0.843137254902,illiterate.csv,0.7647058823530001,0.8235294117649999,0.7647058823530001,0.843137254902,0.78431372549,0.843137254902,0.78431372549,0.843137254902
23,Fold-3,0.7647058823530001,0.803921568627,illiterate.csv,0.7647058823530001,0.803921568627,0.725490196078,0.78431372549,0.7647058823530001,0.803921568627,0.7647058823530001,0.803921568627
24,Fold-4,0.745098039216,0.803921568627,illiterate.csv,0.745098039216,0.8235294117649999,0.745098039216,0.803921568627,0.745098039216,0.8235294117649999,0.745098039216,0.78431372549
25,Fold-0,0.7979797979800001,0.8989898989899999,ontologies.csv,0.808080808081,0.8989898989899999,0.808080808081,0.878787878788,0.808080808081,0.878787878788,0.8181818181820001,0.878787878788
26,Fold-1,0.787878787879,0.8989898989899999,ontologies.csv,0.808080808081,0.878787878788,0.808080808081,0.868686868687,0.808080808081,0.868686868687,0.808080808081,0.878787878788
27,Fold-2,0.765306122449,0.897959183673,ontologies.csv,0.785714285714,0.908163265306,0.7959183673469999,0.8877551020409999,0.7959183673469999,0.8877551020409999,0.7959183673469999,0.897959183673
28,Fold-3,0.8163265306119999,0.908163265306,ontologies.csv,0.775510204082,0.908163265306,0.8163265306119999,0.908163265306,0.8163265306119999,0.908163265306,0.8163265306119999,0.908163265306
