fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th
Fold-0;0.8952380952380952;0.9215686274509804;0.821705426356589;0.5555555555555556;0.8522727272727273;0.5574468085106383;0.807692307692;0.826923076923;0.877551020408;0.143233518414;0.333333333333;0.666666666667;0.75;0.5
Fold-1;0.7477272727272727;0.8565217391304347;0.8168604651162791;0.7383720930232558;0.7736207989854154;0.7796024200518583;0.745098039216;0.843137254902;0.899346405229;0.415553842225;0.25;0.625;0.631578947368;0.545454545455
Fold-2;0.7776162790697674;0.9479166666666667;0.7776162790697674;0.6875;0.7776162790697674;0.7452547452547452;0.78431372549;0.843137254902;0.874205844981;0.14467057789;0.375;0.5;0.625;0.666666666667
Fold-3;0.8056818181818182;0.876984126984127;0.8909883720930232;0.9142441860465116;0.8383005707038681;0.8941176470588236;0.764705882353;0.803921568627;0.598260869565;0.353903666919;0.125;0.125;0.736842105263;0.823529411765
Fold-4;0.8076923076923077;0.9058441558441559;0.9418604651162791;0.8633720930232558;0.8500881834215168;0.8827586206896552;0.745098039216;0.823529411765;0.886597938144;0.301778034224;0.0;0.25;0.761904761905;0.8
