fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.7004830917874396;0.9166666666666667;0.8074074074074074;0.9814814814814814;0.7257142857142858;0.9451114922813035;0.6875;0.8125;0.5;0.5;0.2;0.0;0.5714285714285714;0.9090909090909091;0.6875;0.8125;0.2;0.0
Fold-1;0.75;0.9375;0.9375;0.9910714285714286;0.8;0.9621621621621621;0.7777777777777778;0.8571428571428571;0.5;0.5;0.0;0.0;0.6666666666666666;0.8750000000000001;0.7777777777777778;0.8571428571428571;0.0;0.0
Fold-2;0.6002415458937198;1.0;0.766025641025641;1.0;0.6258503401360545;1.0;0.6727272727272727;0.9454545454545454;0.43096234309623416;0.5;0.3333333333333333;0.0;0.2;1.0;0.8181818181818182;0.9454545454545454;0.3333333333333333;0.0
