fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.9444444444444444;0.9444444444444444;0.9848484848484849;0.9848484848484849;0.96289592760181;0.96289592760181;0.7804878048780488;0.7560975609756098;0.5;0.048935051551759014;0.0;0.0;0.9411764705882353;0.888888888888889;0.7804878048780488;0.7804878048780488;0.0;0.125
Fold-1;0.7142857142857143;0.9285714285714286;0.9344262295081966;0.9918032786885246;0.7649122807017543;0.9574062301335029;0.7910447761194029;0.7910447761194029;0.5;0.057337805296465115;0.0;0.0;0.6;0.6;0.7910447761194029;0.8955223880597015;0.0;0.0
Fold-2;0.7267441860465116;0.8388888888888888;0.8111702127659575;0.9055851063829787;0.7555555555555555;0.8671497584541061;0.7454545454545455;0.7454545454545455;0.5;0.11229485658007003;0.25;0.125;0.6;0.6666666666666667;0.7454545454545455;0.8181818181818182;0.25;0.125
