fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.57;0.8606442577030813;0.575;0.8678571428571429;0.5675213675213675;0.863909508660304;0.0;0.5636363636363636;0.16883116883116897;0.5;0.0;0.15;0.5333333333333333;0.8292682926829269;0.38181818181818183;0.5636363636363636;0.45;0.15
Fold-1;0.6075757575757575;0.7945652173913043;0.5771739130434783;0.7945652173913043;0.5328759291023442;0.7906976744186046;0.0;0.3953488372093023;0.3858597962852004;0.5;0.0;0.2608695652173913;0.6969696969696969;0.7906976744186046;0.3953488372093023;0.3953488372093023;0.6956521739130435;0.2608695652173913
Fold-2;0.1875;0.8159340659340659;0.5;0.8066666666666666;0.2727272727272727;0.8106828938471939;0.0;0.55;0.5;0.5;0.0;0.3333333333333333;0.5454545454545454;0.7142857142857142;0.0;0.55;0.0;0.3333333333333333
