fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th;decision_tree_exclusion_baseline;svm_exclusion_baseline;decision_tree_missed_baseline;svm_missed_baseline
Fold-0;0.7244318181818181;0.9205882352941177;0.7323529411764705;0.9205882352941177;0.7272727272727273;0.9205882352941177;0.48148148148148145;0.5185185185185185;0.5;0.07430459776218425;0.3;0.1;0.6666666666666666;0.8181818181818182;0.48148148148148145;0.5925925925925926;0.3;0.1
Fold-1;0.7166666666666667;0.9590643274853801;0.7280701754385965;0.9590643274853801;0.7211948790896159;0.9590643274853801;0.5357142857142857;0.6607142857142857;0.5;0.353324194269437;0.3333333333333333;0.05555555555555555;0.631578947368421;0.9444444444444444;0.5357142857142857;0.6607142857142857;0.3333333333333333;0.05555555555555555
Fold-2;0.5114942528735632;0.9213709677419355;0.5125;0.9354166666666667;0.5096870342771982;0.9278033794162825;0.425531914893617;0.6382978723404256;0.5;0.5;0.6;0.06666666666666667;0.3636363636363636;0.9032258064516129;0.425531914893617;0.6382978723404256;0.6;0.06666666666666667
