fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th
Fold-0;0.8333333333333333;0.8607843137254902;0.9583333333333333;0.7395833333333333;0.8782608695652174;0.7824397824397824;0.678571428571;0.339285714286;0.24293059126;0.0262957783915;0.0;0.0;0.615384615385;0.355555555556
Fold-1;0.757602862254025;0.8607843137254902;0.875;0.7395833333333333;0.7948717948717949;0.7824397824397824;0.678571428571;0.303571428571;0.233621755253;0.0408170056083;0.125;0.0;0.56;0.340425531915
Fold-2;0.7208333333333333;0.8860544217687075;0.8523936170212766;0.8018617021276595;0.7526236881559221;0.8363095238095237;0.654545454545;0.363636363636;0.225921521998;0.0319865417307;0.0;0.0;0.592592592593;0.372093023256
Fold-3;0.8537234042553192;0.8860544217687075;0.8537234042553192;0.8018617021276595;0.8537234042553192;0.8363095238095237;0.818181818182;0.818181818182;0.91270498592;0.108688896597;0.25;0.25;0.75;0.75
Fold-4;0.8181818181818181;1.0;0.9574468085106382;1.0;0.8666666666666667;1.0;0.666666666667;0.407407407407;0.248041775457;0.0424399709126;0.0;0.0;0.56;0.358974358974
