,fold,Tree K50,SVM K50,Tree K100,SVM K100,Tree K300,SVM K300,Tree K1000,SVM K1000,Tree K3000,SVM K3000
,Fold-2,0.6968954248366010,0.5984848484848480,0.8140350877192980,0.8167901234567900,0.6769807782466010,0.7644444444444440,0.749247311827957,0.8459941884599420,0.8605263157894740,0.7314189189189190
,Fold-3,0.6280701754385960,0.7451923076923080,0.6439767129422300,0.750130958617077,0.7314189189189190,0.7845528455284550,0.7055555555555560,0.8058608058608060,0.7139892071398920,0.6866554054054060
,Fold-4,0.6227059325650870,0.8270509977827050,0.5524050632911390,0.7314974182444060,0.6720720720720720,0.6121629374641420,0.6252252252252250,0.7815126050420170,0.6090225563909780,0.7189189189189190
Test,Fold-0,0.7622767857142860,0.6243386243386240,0.7622767857142860,0.7848484848484850,0.7622767857142860,0.7350746268656720,0.7391076115485560,0.7350746268656720,0.7622767857142860,0.8220551378446120
,Fold-1,0.7391076115485560,0.6551006245662730,0.7391076115485560,0.6243386243386240,0.7391076115485560,0.6243386243386240,0.7391076115485560,0.7350746268656720,0.7391076115485560,0.7034252297410190
,Fold-2,0.8415178571428570,0.8220551378446120,0.8136482939632550,0.8220551378446120,0.8136482939632550,0.7848484848484850,0.8136482939632550,0.7034252297410190,0.8136482939632550,0.7034252297410190
,Fold-3,0.7622767857142860,0.6243386243386240,0.7622767857142860,0.7848484848484850,0.7622767857142860,0.7848484848484850,0.7622767857142860,0.7350746268656720,0.7622767857142860,0.7350746268656720
,Fold-4,0.6478174603174600,0.7350746268656720,0.6478174603174600,0.6243386243386240,0.6478174603174600,0.6243386243386240,0.6478174603174600,0.6243386243386240,0.6478174603174600,0.6243386243386240
Illiterate,Fold-0,0.8242055442866800,0.4526315789473680,0.8242055442866800,0.7984496124031010,0.7746130030959750,0.4526315789473680,0.8242055442866800,0.4526315789473680,0.7694013303769400,0.4526315789473680
,Fold-1,0.7736207989854150,0.8111111111111110,0.7736207989854150,0.7976190476190480,0.7736207989854150,0.7796024200518580,0.7736207989854150,0.6433566433566430,0.7736207989854150,0.7796024200518580
,Fold-2,0.7776162790697670,0.6673913043478260,0.6032843560933450,0.867761452031115,0.6032843560933450,0.6673913043478260,0.6268292682926830,0.6673913043478260,0.6268292682926830,0.6673913043478260
,Fold-3,0.7901234567901240,0.9258720930232560,0.7901234567901240,0.8941176470588240,0.7901234567901240,0.9609195402298850,0.7085714285714290,0.9609195402298850,0.7901234567901240,0.9609195402298850
,Fold-4,0.8261363636363640,0.867761452031115,0.8035222894881670,0.8941176470588240,0.8261363636363640,0.867761452031115,0.6868209730751060,0.867761452031115,0.6868209730751060,0.8344155844155840
Ontologies,Fold-0,0.6681034482758620,0.6156832298136650,0.6681034482758620,0.7475409836065570,0.6802484472049690,0.7443181818181820,0.6354775828460040,0.6600274725274720,0.6354775828460040,0.6600274725274720
