fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th
Fold-0;0.8333333333333333;0.8607843137254902;0.9583333333333333;0.7395833333333333;0.8782608695652174;0.7824397824397824;0.785714285714;0.839285714286;0.916487068966;0.381714484087;0.0;0.5;0.8;0.615384615385
Fold-1;0.757602862254025;0.9615384615384616;0.875;0.75;0.7948717948717949;0.8133333333333334;0.75;0.821428571429;0.893835616438;0.238226659059;0.125;0.375;0.666666666667;0.666666666667
Fold-2;0.7208333333333333;0.8860544217687075;0.8523936170212766;0.8018617021276595;0.7526236881559221;0.8363095238095237;0.709090909091;0.818181818182;0.903426791277;0.229591721814;0.125;0.25;0.608695652174;0.75
Fold-3;0.8537234042553192;0.8860544217687075;0.8537234042553192;0.8018617021276595;0.8537234042553192;0.8363095238095237;0.818181818182;0.818181818182;0.91270498592;0.247738106943;0.25;0.375;0.75;0.666666666667
Fold-4;0.8181818181818181;0.9795918367346939;0.9574468085106382;0.8571428571428572;0.8666666666666667;0.90625;0.796296296296;0.833333333333;0.91724137931;0.281948254895;0.0;0.0;0.777777777778;0.875
