fold;decision_tree_precision;svm_precision;decision_tree_recall;svm_recall;decision_tree_fscore;svm_fscore;decision_tree_exclusion;svm_exclusion;decision_tree_threashold;svm_threashold;decision_tree_missed;svm_missed;decision_tree_fscore_th;svm_fscore_th
Fold-0;0.9;0.8607843137254902;0.9791666666666667;0.7395833333333333;0.933806146572104;0.7824397824397824;0.196428571429;0.0;0.00709219858156;0.0311286119011;0.0;0.0;0.301886792453;0.25
Fold-1;0.8391304347826087;0.8607843137254902;0.90625;0.7395833333333333;0.8676122931442081;0.7824397824397824;0.160714285714;0.0;0.00740740740741;0.0423535704579;0.0;0.0;0.290909090909;0.25
Fold-2;0.7378048780487805;0.8860544217687075;0.863031914893617;0.8018617021276595;0.7727272727272727;0.8363095238095237;0.127272727273;0.0;0.00729927007299;0.0340587279818;0.125;0.0;0.254545454545;0.253968253968
Fold-3;0.8537234042553192;0.8860544217687075;0.8537234042553192;0.8018617021276595;0.8537234042553192;0.8363095238095237;0.8;0.781818181818;0.5;0.0698291454412;0.25;0.25;0.705882352941;0.666666666667
Fold-4;0.8181818181818181;1.0;0.9574468085106382;1.0;0.8666666666666667;1.0;0.12962962963;0.0;0.00724637681159;0.0476597595301;0.0;0.0;0.259259259259;0.229508196721
